/home/graham/Projects/GitTests/OpenField/TestSampleData/sampleVid.mp4
parse	hand	none	mouse
mouse	6.6110166e-05	3.206252e-07	0.9999336
mouse	6.312038e-05	3.2645923e-07	0.9999366
mouse	6.484442e-05	3.0275265e-07	0.9999348
mouse	1.9441262e-05	3.915795e-07	0.9999802
mouse	4.3935735e-05	2.769131e-06	0.99995327
mouse	4.3080643e-05	2.5939682e-06	0.99995434
mouse	4.4290948e-05	2.8698769e-06	0.9999528
mouse	7.2554474e-05	3.1449767e-05	0.99989593
mouse	9.293373e-05	4.3494983e-05	0.9998635
mouse	0.00011439234	0.0004264641	0.9994592
mouse	0.000106586565	0.00045219413	0.9994412
mouse	0.000113061025	0.0004506404	0.9994363
mouse	0.000101339385	0.00018339469	0.99971527
mouse	7.192145e-05	4.055296e-05	0.99988747
mouse	7.88358e-05	5.3145395e-05	0.99986804
mouse	7.346188e-05	5.470387e-05	0.99987185
mouse	4.851366e-05	7.614498e-06	0.99994385
mouse	9.657598e-05	2.5862466e-05	0.9998776
mouse	0.00010652313	1.5720976e-05	0.9998777
